,company_name,num_employees,past_companies,past_schools,category_groups,headquarters_location,crunchbase_rank,last_funding_type,last_funding_amount,total_funding_amount,trend_score,categories,founded_date,status,last_funding_date,total_equity_funding_amount,time_since_last_funding,funding_ratio,score
1669,Karius,48,"Stanford University, University of California, Davis, Stanford University School of Medicine, Ariosa Diagnostics, The Advisory Board Company","Stanford University, University of California Berkeley, University of California Davis, The University of British Columbia, Technion - Israel Institute of Technology",Information Technology,"Redwood City, California, United States",14152,Series A,"$50,000,000",55000000,,Information Technology,01/01/2014,Operating,08/05/2017,55000000,0.28,55,1.35
1670,Memoir,6,"JantaKhoj InfoServices Private Limited, NVIDIA, Hewlett Packard Enterprise, Microsoft, Cisco","State Engineering University of Armenia, Indian Institute of Technology Kharagpur, Jawaharlal Nehru Technological University, PSG College of Technology","Media and Entertainment, Internet Services, Content and Publishing, Mobile","New York, New York, United States",14172,Series A,"$5,500,000",6700000,-0.5,"Social Media, Mobile, Photo Sharing, Photography",01/01/2011,Operating,11/21/2014,6700000,2.99,6.7,0.916
1671,Mino Games,5,"Bit Battalion, CINCO, DHX Media, National Library of Australia, Behaviour Interactive","The Australian National University, UNSW, Vancouver Film School, Academy of Interactive Entertainment (AIE)","Gaming, Software, Mobile","San Francisco, California, United States",14214,Seed,"$2,200,000",4868000,-0.3,"Mobile, Developer Platform, Gaming",01/01/2011,Operating,10/08/2015,4868000,2.11,4.868,0.948
1672,Foursquare,354,"Foursquare, Google, Microsoft, Varick, Columbia University in the City of New York","New York University, Stony Brook University, Boston University, University of California Berkeley, NYU Stern School of Business","Apps, Media and Entertainment, Navigation and Mapping, Data and Analytics, Community and Lifestyle, Software, Internet Services, Mobile, Advertising","New York, New York, United States",14245,Series E,"$45,000,000",207350000,-6,"Mobile, Big Data, Apps, Advertising Platforms, Private Social Networking, Guides, Location Based Services",03/01/2009,Operating,01/14/2016,166350000,1.84,166.35,0.87
1673,Lytmus,15,"Riverbed Technology, Massachusetts Institute of Technology, IBM, ZENGINE LIMITED, Groupon","Massachusetts Institute of Technology, University of California Berkeley, University of California Los Angeles, Virginia Tech, Tribhuvan Vishwavidalaya","Software, Professional Services","San Francisco, California, United States",14265,Series Unknown,"$7,200,000",7200000,-0.3,"Software, Employment, Human Resources",01/01/2013,Operating,09/30/2015,7200000,2.13,7.2,0.854
1676,Ciris Energy,8,"Forest Oil Corporation, Allylix, Alacer Gold Corp., Ciris Energy, Inc, QUESTAR LIMITED","Western State Colorado University, Florida Atlantic University, Oregon State University, Abilene Christian University, Stephen F. Austin State University","Natural Resources, Energy","Berkeley, California, United States",41301,Series Unknown,"$4,500,000",4500000,-0.1,"Energy Storage, Energy, Oil and Gas",01/01/2008,Operating,09/01/2008,4500000,9.22,4.5,0.779
1677,Oribi,17,"IDF, Hewlett Packard Enterprise, Quixey, Intel Corporation, Dalet Digital Media Systems","Ben-Gurion University of the Negev, Technion - Israel Institute of Technology, Tel Aviv University, Georgia Institute of Technology, Bar-Ilan University","Data and Analytics, Sales and Marketing, Internet Services","Israel, Asia",14330,Series A,"$5,400,000",5400000,-0.4,"Internet, Analytics, Marketing",01/01/2015,Operating,06/02/2016,5400000,1.46,5.4,0.88
1678,"Bloomz, Inc.",11,"Microsoft, PepsiCo - Quaker Oats, Starbucks, AT&T, KPMG US","Simon Fraser University, TecnolÌ_gico de Monterrey, University of Washington, The University of British Columbia, Andhra University","Information Technology, Software, Education, Mobile","Redmond, Washington, United States",14361,Seed,"$3,801,654",3801654,-0.7,"Information Technology, Education, Mobile, Developer Tools",01/01/2014,Operating,06/03/2016,3801654,1.46,3.802,0.88
1679,SuVolta,13,"LSI Logic Gmbh, Open Garden Inc., SuVolta Inc., Intel Corporation, PDF Solutions","North Carolina State University, National Taiwan University, Bangladesh University of Engineering and Technology, University of Toronto, Tsinghua University","Science and Engineering, Energy, Hardware, Sustainability","Los Gatos, California, United States",14425,Series F,"$10,600,000",76078582,1.3,"Semiconductor, Energy, Energy Efficiency",01/01/2006,Operating,01/14/2014,76078582,3.84,76.079,0.805
1681,Breathe Technologies,37,"Masimo, Apria Healthcare, IBM, GE, Philips","California State Polytechnic University-Pomona, University of Illinois at Urbana-Champaign, University of California Riverside, Santiago Canyon College, Huazhong University of Science and Technology","Information Technology, Data and Analytics, Software","Shenzhen, Guangdong, China",37545,Funding Round,"¥100,000,000",15881418,1.1,"Software, Data Integration, Web Development",03/01/2001,Operating,03/01/2012,15881418,5.72,15.881,0.786
1682,Hubble Contacts,15,"Starbucks, Panaya, Hubble Contacts, Bridgewater Associates, Fordham University","Hunter College, Columbia University in the City of New York, Technion - Israel Institute of Technology, Wesleyan University, Miami International University of Art & Design","Commerce and Shopping, Consumer Goods","New York, New York, United States",14501,Series A,"$10,000,000",33700000,2.1,"Eyewear, Consumer Goods, E-Commerce",05/01/2016,Operating,08/28/2017,33700000,0.22,33.7,0.899
1683,Theranica,8,"Zoran, Siano Mobile Silicon, CSR, DSP Group, Orsan Medical Technologies Ltd.","Tel Aviv University, Technion - Israel Institute of Technology, Bar-Ilan University, Moscow StateåÊUniversity of Transport (MIIT), Santa Clara University","Biotechnology, Science and Engineering, Health Care","Netanya, HaMerkaz, Israel",14519,Series A,"$6,000,000",6000000,6.5,"Therapeutics, Biotechnology, Medical",01/01/2016,Operating,07/03/2017,6000000,0.38,6,0.898
1684,Correlsense,27,"Israel Defense Forces, Correlsense, IBM, Orange, Oblicore","Bar-Ilan University, Technion - Israel Institute of Technology, The College of Management Academic Studies, IDC Herzliya, Tel Aviv University","Apps, Software","Framingham, Massachusetts, United States",14528,Series D,"$4,300,000",20900000,-0.1,"Software, Enterprise, Apps",01/01/2005,Operating,09/15/2013,18900000,4.18,18.9,0.798
1685,Azul Systems,170,"Sun Microsystems, Oracle, Intel Corporation, Azul Systems, Hewlett Packard Enterprise","Novosibirsk State University (NSU), Saint Petersburg State University, San Jose State University, University of Portsmouth, Bangalore University","Apps, Software","Sunnyvale, California, United States",14546,Series F,"$40,000,000",177700000,-2.6,"Consumer Applications, Software, Enterprise Applications",01/01/2002,Operating,09/13/2007,177700000,10.19,177.7,0.783
1687,Blockspring,3,"Mission Measurement, TEXT ME LTD, Mozes Inc., Chinese Academy of Sciences, ZS","University of Illinois at Urbana-Champaign, Nanjing Xiaozhuang College, Clark University","Information Technology, Software, Mobile","San Francisco, California, United States",19610,Series A,"$10,000,000",10000000,0.8,"Information Technology, Mobile, Service Industry, Enterprise Software",05/01/2011,Operating,12/15/2011,10000000,5.93,10,1.285
1688,Teckro,48,"Firecrest - ICON's Innovative Site & Patient Platform, ICON plc, QuintilesIMS, University College Cork, Trinity College Dublin","Limerick Institute of Technology, University of Limerick, University College Cork, Trinity College Dublin, National University of Ireland, Galway",Software,"New York, New York, United States",14558,Series A,"$6,000,000",6000000,-0.8,Software,01/01/2015,Operating,08/08/2016,6000000,1.28,6,0.792
1689,ViajaNet,147,"ViajaNet, Decolar Brasil, TIM Brasil, FCamara Consulting & Training, Submarino Viagens","Uninove - Universidade Nove de Julho, Universidade Anhembi Morumbi, Anhanguera Educacional, Universidade Paulista, Senac SÌ£o Paulo","Travel and Tourism, Commerce and Shopping","São Caetano Do Sul, Sao Paulo, Brazil",14562,Series C,,19000000,0.2,"Online Auctions, Hotel, Travel",01/01/2009,Operating,06/01/2013,19000000,4.47,19,0.795
1691,AVA,9162,"Avanade, Accenture, Microsoft, IBM, Hewlett Packard Enterprise","University of Washington, UniversitÌÊ degli Studi di Cagliari, Liceo Scientifico, DePaul University, SUPINFO International University","Science and Engineering, Hardware, Data and Analytics, Software, Artificial Intelligence","Santa Monica, California, United States",31806,Convertible Note,"$4,400,000",10801200,-1.7,"Artificial Intelligence, Robotics",09/01/2009,Operating,08/31/2016,10801200,1.21,10.801,0.888
1693,CellScope,6,"University of California, Berkeley, Advanced Technology Ventures, UNIDO, Simbex, Veritat Advisors","University of California Berkeley, Henderson State University, University of California San Francisco, Purdue University, Dartmouth College","Information Technology, Internet Services, Messaging and Telecommunications","Beijing, Beijing, China",27210,Series Unknown,,4000000,-0.1,Messaging,01/01/2009,Operating,07/08/2016,4000000,1.36,4,1.221
1694,ANSR Consulting,28,"Target, HCL Technologies, Wipro Limited, Microland Limited, VERISIGN","University of Madras, Bangalore University, University of Mysore, National Institute of Technology Tiruchirappalli, University of Sydney",,"Bangalore, Karnataka, India",14757,Series A,"$6,700,000",6700000,1,"Consulting, Business Development",01/01/2008,Operating,07/21/2015,6700000,2.33,6.7,0.846
1696,Amonix,27,"Amonix Inc, Hudson Clean Energy, Harman Becker, Adaptech Corporation, Integrated Decision Systems Consultancy","California State Polytechnic University-Pomona, China Europe International Business School (CEIBS), Indian Institute of Technology Delhi, National University of Singapore, Asia-Pacific International University","Information Technology, Data and Analytics, Financial Services","New York, New York, United States",40427,Series A,"$20,000,000",20000000,-2.3,"Information Technology, Financial Services, Analytics",01/01/2013,Operating,05/11/2017,20000000,0.52,20,0.898
1697,"Perlara, PBC",8,"Princeton University, Arizona State University, International School of the Peninsula, Accenture, Sun Microsystems","Stanford University, INSEAD, Sciences Po, Arizona State University, Stanford University School of Medicine","Biotechnology, Science and Engineering, Health Care","San Francisco, California, United States",14797,Seed,"$120,000",7320000,-0.1,"Biotechnology, Genetics, Medical, Pharmaceutical",02/01/2014,Operating,03/18/2016,7320000,1.67,7.32,1.323
1700,JUSPAY,100,"JUSPAY, Amazon, Tata Consultancy Services, BankBazaar India, Entrepreneurship Cell, IIT Kharagpur","College of Engineering, Guindy, Kendriya Vidyalaya, Indian Institute of Technology Kharagpur, Visvesvaraya Technological University, Indian Institute of Management Bangalore","Software, Payments, Internet Services, Financial Services, Mobile","Kormangala, Karnataka, India",14884,Series Unknown,"$5,820,684",5820684,-0.3,"Internet, Mobile Payments",01/01/2012,Operating,02/25/2016,5820684,1.73,5.821,0.776
1702,Sociable Labs,11,"Sociable Labs, Viadeo, ViralNinjas, Nuance Communications, OZ","Concordia University, UniversitÌ© de MontrÌ©al, Ìäcole de technologie supÌ©rieure, UniversitÌ© du QuÌ©bec - Institut national de la recherche scientifique, UniversitÌ© du QuÌ©bec ÌÊ Trois-RiviÌ¬res","Software, Internet Services","San Francisco, California, United States",40813,Series A,"$10,000,000",10000000,,"Internet, Software, Consulting",01/01/2015,Operating,06/21/2017,10000000,0.41,10,0.898
1706,ScaleMP,20,"ScaleMP, Israel Defense Forces, Voltaire, BRM Group, Gilat Satellite Networks","Technion - Israel Institute of Technology, Tel Aviv University, The Hebrew University of Jerusalem, The Open University, IDC Herzliya",Software,"San Francisco, California, United States",47016,Series A,"$4,500,000",4620000,-2.2,"Business Development, Task Management, Developer APIs",06/01/2016,Operating,06/22/2017,4620000,0.41,4.62,0.898
1707,RevUp Software,16,"CMDI, Hewlett Packard Enterprise, McKinsey & Company, Democratic National Committee, NBC News","Harvard Business School, University of Wisconsin-Milwaukee, University of Hamburg, University of Mumbai, University of California Davis","Data and Analytics, Software","Redwood City, California, United States",14950,Seed,"$5,000,000",5000000,-0.5,"Software, Analytics",02/01/2014,Operating,03/25/2016,5000000,1.65,5,0.873
1708,Greenlight Biosciences,51,"GreenLight Biosciences Inc., Massachusetts Institute of Technology, US Army, The University of Georgia, Northeastern University","Massachusetts Institute of Technology, Northeastern University, Boston University, University of Massachusetts Lowell, Oklahoma State University","Biotechnology, Science and Engineering, Energy, Sustainability","Medford, Massachusetts, United States",14969,Series C,,28000000,0.2,"Fuel, Sustainability, Chemical, Biotechnology",01/01/2008,Operating,07/22/2015,28000000,2.33,28,0.846
1710,Lehigh Technologies,51,"Cabot Corporation, Lehigh Technologies, Ciba, Rohm and Haas, Georgia State University","The University of Alabama, Georgia Institute of Technology, Georgia Southern University, Indiana University‰ÛÓPurdue University Fort Wayne, Miami University","Hardware, Information Technology, Software, Internet Services","Netanya, HaMerkaz, Israel",34473,Series Unknown,"$8,000,000",8000000,-0.2,"Enterprise Software, Cloud Management, Cloud Infrastructure",01/01/2008,Operating,05/08/2008,8000000,9.53,8,0.778
