Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,CB Rank (Investor),Trend Score (90 Days),Investor Type,Investment Stage
Riverwood Capital,/organization/riverwood-capital,32,10,"Menlo Park, California, United States",Riverwood Capital is a leading growth stage technology investment firm,"2,864",0.6,Private Equity Firm,"Late Stage Venture, Private Equity"
CIT Group,/organization/cit-group,32,10,"Livingston, New Jersey, United States","Founded in 1908, CIT Group provides financing, leasing, and advisory services to its clients and is an American financial holding company.","3,232",-2.5,Investment Bank,"Late Stage Venture, Debt"
Capricorn Investment Group,/organization/capricorn-investment-group,43,10,"Palo Alto, California, United States",Capricorn Investment Group was created to demonstrate that it is possible to invest profitably while driving sustainable positive change,"3,417",-0.5,Family Investment Office,"Early Stage Venture, Late Stage Venture, Private Equity"
Rothschild,/organization/rothschild-gestion,24,10,"New York, New York, United States","Rothschild provides strategic, M&A, wealth management and fundraising advice to governments, companies and individuals worldwide","3,482",4.5,Investment Bank,"Early Stage Venture, Late Stage Venture"
GSV Capital,/organization/gsv-capital,50,10,"Woodside, New York, United States",GSV Capital is a venture capital firm investing in growth stage companies.,"3,933",-0.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Fulcrum Equity Partners,/organization/fulcrum-equity-partners,37,10,"Atlanta, Georgia, United States","Fulcrum Equity Partners is a growth equity firm investing in high-growth SaaS, tech-enabled services, healthcare services and healthcare IT","4,125",-2.5,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity"
PROfounders Capital,/organization/profounders-capital,44,10,"London, England, United Kingdom",We are an early-stage VC backed by successful entrepreneurs and focused on investing in technology start-ups across Europe.,"4,181",0.8,Venture Capital,"Seed, Early Stage Venture"
Aeris Capital,/organization/aeris-capital,32,10,"Pfaffikon, Zurich, Switzerland",Aeris Capital AG is a private equity fund and financial advisor with locations in the United States and Switzerland.,"4,314",-0.2,Private Equity Firm,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Lovell Minnick Partners,/organization/lovell-minnick-partners,36,10,"Radnor, Pennsylvania, United States",Lovell Minnick Partners focuses on investments in the global financial and business services sectors.,"4,645",3.2,Private Equity Firm,Private Equity
Omega Funds,/organization/omega-funds,35,10,"Boston, Massachusetts, United States",Omega Funds global life sciences-based investment firm specialized in direct secondary transactions.,"5,099",-1.9,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
venBio Partners,/organization/venbio,24,10,"San Francisco, California, United States",venBio is a life sciences investment firm that partners with industry leaders to build game-changing medicines and technologies.,"5,139",-3,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Post-Ipo"
SEB Venture Capital,/organization/seb-venture-capital,47,10,"Stockholm, Stockholms Lan, Sweden","SEB Venture Capital provides capital, competence and a network of contacts for tech and fintech companies since 1995 (Nordics and Baltics)","5,205",1.4,Venture Capital,"Early Stage Venture, Late Stage Venture"
Howard Lindzon,/person/howard-lindzon,39,10,"San Diego, California, United States",Howard has more than 20 years experience in the financial community acting in both an entrepreneurial and investing capacity.  With a unique...,"5,213",-0.2,"Investment Partner, Individual/Angel",Seed
Easton Capital,/organization/easton-capital,58,10,"New York, New York, United States",Easton Capital is a New York-based investment group specializing in healthcare and life sciences companies.,"5,235",3.2,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Kevin Hartz,/person/kevin-hartz,25,10,"San Francisco, California, United States","Kevin is a partner at Founders Fund.  Prior to joining the firm, Kevin was Co-Founder and CEO of Eventbrite. Kevin was previously Co-Foun...","5,246",-1.8,"Investment Partner, Individual/Angel",Seed
"Andrew Boszhardt, Jr.",/person/andrew-boszhardt,21,10,"New York, New York, United States","Andy is Managing Partner of Great Oaks Venture Capital, LLC (GOVC). Prior to forming Great Oaks, Andy was a Managing Director and Portfolio ...","5,376",-1.4,"Investment Partner, Individual/Angel",Seed
REV,/organization/reed-elsevier,41,10,"London, England, United Kingdom",REV (formerly Reed Elsevier Ventures) is a financially focused corporate VC backed by RELX Group,"5,467",-0.6,Corporate Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Allen Morgan,/person/allen-morgan,26,10,"Santa Monica, California, United States","After 12 years as a General Partner/Managing Director/Venture Partner at Mayfield Fund, I'm now fully-engaged in two pursuits: (1) as an act...","5,549",6.7,"Investment Partner, Individual/Angel",Seed
Comvest Partners,/organization/comvest-group,18,10,"West Palm Beach, Florida, United States",Comvest Partners is a private investment firm that provides equity and debt capital to lower middle-market companies.,"5,668",-0.6,Private Equity Firm,"Late Stage Venture, Debt"
M/C Partners,/organization/m-c-partners,31,10,"Boston, Massachusetts, United States","M/C Partners is a private equity company investing in the communication, technology and media industries.","6,104",-0.2,Venture Capital,"Late Stage Venture, Private Equity, Debt"
Geoff Ralston,/person/geoff-ralston,29,10,"San Francisco, California, United States","Geoff Ralston is the Founder & Partner of Imagine K 12. Geoff has been an Investor in, Board Member of, and Advisor to a variety of start...","6,153",-1.3,"Investment Partner, Individual/Angel",Seed
Camden Partners,/organization/camden-partners,37,10,"Baltimore, Maryland, United States","Provides growth capital to lower-middle market companies in the education, healthcare and technology-enabled business services sectors.","6,256",0.6,Private Equity Firm,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Arboretum Ventures,/organization/arboretum-ventures,61,10,"Ann Arbor, Michigan, United States",Arboretum Ventures is a Michigan-based venture capital firm investing in medical technology and healthcare companies.,"6,264",-0.4,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
"Kortschak Investments, L.P.",/organization/kortschak-investments-l-p,48,10,"Menlo Park, California, United States","Early stage VC focusing on data-driven companies in the new media, gaming, SaaS, cloud, new finance, IOT, security and mobile sectors.","6,379",-0.5,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Portland Seed Fund,/organization/portland-seed-fund,150,10,"Portland, Oregon, United States",The Portland Seed Fund finds and surrounds the most promising seed-stage companies with capital.,"6,655",-1.9,Accelerator,"Seed, Early Stage Venture"
Southern Cross Venture Partners,/organization/southern-cross-venture-partners,46,10,"North Sydney, New South Wales, Australia",Southern Cross Venture Partners was launched in 2006 by veteran venture capitalists who have managed and operated companies themselves.,"6,893",-0.1,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Foundation Medical Partners,/organization/foundation-medical-partners,39,10,"Norwalk, Connecticut, United States",Foundation Medical Partners is a team of proven healthcare technology venture capital investors,"6,920",-0.6,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Sherpalo Ventures,/organization/sherpalo-ventures,43,10,"Menlo Park, California, United States",Sherpalo is a mentor capital firm that supports the development and commercialization of early-stage disruptive new technologies.,"6,927",-0.7,Angel Group,"Seed, Early Stage Venture, Late Stage Venture"
Lundbeckfonden Ventures,/organization/lundbeckfond-ventures,37,10,"Copenhagen, Hovedstaden, Denmark",Lundbeckfonden Ventures is an evergreen life science venture fund established in the autumn of 2009 and wholly owned by Lundbeck Foundation,"7,109",-1.3,Venture Capital,"Early Stage Venture, Late Stage Venture"
Casdin Capital,/organization/casdin-capital,20,10,"New York, New York, United States","Casdin Capital, LLC is an investment firm focused on the life sciences and healthcare industry.","7,269",-0.3,Angel Group,"Early Stage Venture, Late Stage Venture"
New Science Ventures,/organization/new-science-ventures,49,10,"New York, New York, United States",New Science Ventures is a New York-based venture capital firm focused on investments in life sciences and information technology companies.,"7,272",-0.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Entrepreneurs Fund,/organization/entrepreneurs-fund,41,10,"London, England, United Kingdom",We invest actively in ground-breaking life science and technology businesses to accelerate their growth and development.,"7,604",0.2,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Post-Ipo"
Vulcan,/organization/vulcan-llc,23,10,"Seattle, Washington, United States","Vulcan Inc. operates as an investment and project management company in Seattle, Washington.","7,846",-0.5,Private Equity Firm,
VF Venture,/organization/vf-venture,77,10,"Hellerup, Hovedstaden, Denmark",VF Venture invests equity in young companies with significant international growth potential,"7,867",-0.4,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Alta Berkeley Venture Partners,/organization/alta-berkeley-venture-partners,32,10,"London, England, United Kingdom",Alta Berkeley Venture Partners is a private equity and venture capital firm specializing in investments in seed and startup and early,"7,960",-0.3,Private Equity Firm,"Early Stage Venture, Late Stage Venture"
Oliver Jung,/person/oliver-jung,37,10,"London, England, United Kingdom",Oliver is a global investor and entrepreneur based in Tel Aviv. Oliver is investing in US and China based companies and helps them to go int...,"8,076",-0.6,Individual/Angel,Seed
"CNF Investments, LLC",/organization/cnf-investments,42,10,"Bethesda, Maryland, United States","CNF is the Clark Enterprises, Inc. affiliate that actively invests in venture capital and private equity.","8,335",-0.3,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
